2000,220,6,214,97.27
2001,1122,42,1080,96.26
2002,1067,36,1031,96.63
2003,1142,45,1097,96.06
2004,1135,41,1094,96.39
2005,1097,49,1048,95.53
2006,1118,50,1068,95.53
2007,1090,33,1057,96.97
2008,1108,41,1067,96.3
2009,1140,40,1100,96.49
2010,1099,19,1080,98.27
2011,1101,28,1073,97.46
2012,1103,33,1070,97.01
2013,1105,22,1083,98.01
2014,1053,18,1035,98.29
2015,1059,25,1034,97.64
2016,1122,20,1102,98.22
2017,1091,17,1074,98.44
2018,1147,16,1131,98.61
2019,1083,15,1068,98.61
2020,1012,9,1003,99.11
